"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Seltene","Seltene","","","",0,*,"","","","null {[]} {[]}
","MII LM SE","MII LogicalModel Modul Seltene Erkraknungen","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.extension","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.modifierExtension","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOTerm","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOTerm","","","",0,*,"","","","code {[]} {[]}
","HPO-Term des Symptoms","Phaenotypisierung des SE-Patienten mittels HPO-Term (Human Phenotype Ontology) oder anderer Terminologien (SNOMED CT, ICD-10, LOINC).","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOTerm",0,*,"",""
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOExcluded","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOExcluded","","","",0,1,"","","","boolean {[]} {[]}
","HPO-Term ausgeschlossen","Gibt an, ob das HPO-Merkmal explizit ausgeschlossen wurde (negated finding). Abgeleitet aus valueCodeableConcept: LOINC LA9634-2 'Absent' = true, LA9633-4 'Present' = false. Folgt HL7 Phenomics IG Muster.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOExcluded",0,1,"",""
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOStatus","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOStatus","","","",0,1,"","","","code {[]} {[]}
","Status HPO-Term","Status oder Schweregrad des Phaenotyps (Present/Absent/Severity).","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOStatus",0,1,"",""
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOVersion","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOVersion","","","",0,1,"","","","code {[]} {[]}
","Version HPO-Term","Kennzeichnung der genutzten Version des ausgewaehlten HPO-Terms.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.HPOVersion",0,1,"",""
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom","","","",0,*,"","","","BackboneElement {[]} {[]}
","Zeitraum des Symptom","Zeitraum des Symptom","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.id","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.extension","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.modifierExtension","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.ZeitraumSymptom","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.ZeitraumSymptom","","","",0,*,"","","","dateTime {[]} {[]}
","Startdatum des Symptoms","Startdatum und bei Bedarf Periode der ersten Symptome/Anzeichen.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.ZeitraumSymptom",0,*,"",""
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.Lebensphase","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.Lebensphase","","","",0,*,"","","","code {[]} {[]}
","Lebensphase Symptom","Lebensphase, in der das Symptom aufgetreten ist.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.Lebensphase",0,*,"",""
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.AlterSymptom","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.AlterSymptom","","","",0,1,"","","","integer {[]} {[]}
","Alter Symptom","Alter beim Auftreten der ersten Symptome/Anzeichen.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.ZeitraumSymptom.AlterSymptom",0,1,"",""
"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.VerlaufSymptom","Seltene.AnamneseUndDiagnostik.Phaenotypisierung.VerlaufSymptom","","","",0,1,"","","","code {[]} {[]}
","Verlauf Symptom","Aenderung des Verlaufs des Symptoms seit der vorherigen Untersuchung.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.Phaenotypisierung.VerlaufSymptom",0,1,"",""
"Seltene.AnamneseUndDiagnostik.KlinischeDiagnose","Seltene.AnamneseUndDiagnostik.KlinischeDiagnose","","","",0,*,"","","","BackboneElement {[]} {[]}
","Zeitraum der klinischen SE-Diagnose","Zeitraum der klinischen SE-Diagnose","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.KlinischeDiagnose",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.id","Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.extension","Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.modifierExtension","Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.ZeitpunktKlinischeDia","Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.ZeitpunktKlinischeDia","","","",0,1,"","","","code {[]} {[]}
","Zeitpunkt klinische SE-Diagnose","Auswahl der Altersangabe (Lebensphase) des Zeitpunktes der klinsichen SE-Diagnose.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.ZeitpunktKlinischeDia",0,1,"",""
"Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.FeststellungsdatumKlinischeDia","Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.FeststellungsdatumKlinischeDia","","","",0,1,"","","","date {[]} {[]}
","Feststellungsdatum klinische SE-Diagnose","Datum, an dem die klinische SE-Diagnose festgestellt wurde.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.FeststellungsdatumKlinischeDia",0,1,"",""
"Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.AlterKlinischeDia","Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.AlterKlinischeDia","","","",0,1,"","","","integer {[]} {[]}
","Alter bei klinischer SE-Diagnose","Alter, in dem die klinische SE-Diagnose gestellt wurde.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.KlinischeDiagnose.AlterKlinischeDia",0,1,"",""
"Seltene.AnamneseUndDiagnostik.GenetischeDiagnose","Seltene.AnamneseUndDiagnostik.GenetischeDiagnose","","","",0,*,"","","","BackboneElement {[]} {[]}
","Zeitraum der genetischen SE-Diagnose","Zeitraum der genetischen SE-Diagnose","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.GenetischeDiagnose",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.id","Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.extension","Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.modifierExtension","Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.ZeitpunktGenDia","Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.ZeitpunktGenDia","","","",0,1,"","","","code {[]} {[]}
","Zeitpunkt genetische SE-Diagnose","Auswahl der Altersangabe (Lebensphase) des Zeitpunktes der genetischen SE-Diagnose.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.ZeitpunktGenDia",0,1,"",""
"Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.FeststellungsdatumGenDia","Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.FeststellungsdatumGenDia","","","",0,1,"","","","date {[]} {[]}
","Feststellungsdatum genetische SE-Diagnose","Datum, an dem die genetische SE-Diagnose festgestellt wurde.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.FeststellungsdatumGenDia",0,1,"",""
"Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.AlterGenDia","Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.AlterGenDia","","","",0,1,"","","","integer {[]} {[]}
","Alter bei genetischer SE-Diagnose","Alter, in dem die genetische SE-Diagnose gestellt wurde.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.GenetischeDiagnose.AlterGenDia",0,1,"",""
"Seltene.AnamneseUndDiagnostik.GenDiaFehlendePenetranz","Seltene.AnamneseUndDiagnostik.GenDiaFehlendePenetranz","","","",0,*,"","","","code {[]} {[]}
","Genetische Diagnose mit fehlender Penetranz","Gibt an, ob bei einer genetischen Diagnose die Penetranz (Wahrscheinlichkeit Genotyp bildet Phaenotyp aus) fehlt","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.GenDiaFehlendePenetranz",0,*,"",""
"Seltene.AnamneseUndDiagnostik.MethodeDiagnosestellung","Seltene.AnamneseUndDiagnostik.MethodeDiagnosestellung","","","",0,*,"","","","code {[]} {[]}
","Methode der Diagnosestellung","Gibt an, welche Methode zur Diagnosestellung verwendet wurde.","","","","","","","","","",,,,,"",,,,"Seltene.AnamneseUndDiagnostik.MethodeDiagnosestellung",0,*,"",""
"Seltene.KoerperlicheUntersuchung","Seltene.KoerperlicheUntersuchung","","","",0,*,"","","","BackboneElement {[]} {[]}
","Körperliche Untersuchung","Körperliche Untersuchung","","","","","","","","","",,,,,"",,,,"Seltene.KoerperlicheUntersuchung",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Seltene.KoerperlicheUntersuchung.id","Seltene.KoerperlicheUntersuchung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"Seltene.KoerperlicheUntersuchung.extension","Seltene.KoerperlicheUntersuchung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Seltene.KoerperlicheUntersuchung.modifierExtension","Seltene.KoerperlicheUntersuchung.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
