page	lang	kind	source	gate	line	excerpt
examples	default	bridge	MIIIGModulSeltene/Technische-Implementierung/FHIR-Profile/Beispiele-fuer-Seltene-Erkrankungen/Index.page.md	B	30	**Written during migration - review before release.** The detailed semantic annotations: [Spinal muscular atrophy (SMA)]
examples	de	bridge	MIIIGModulSeltene/Technische-Implementierung/FHIR-Profile/Beispiele-fuer-Seltene-Erkrankungen/Index.page.md	B	30	**Written during migration - review before release.** Die ausführlichen semantischen Annotationen: [Spinale Muskelatroph
guidance	default	bridge	none	B	6	**Written during migration - review before release.** Detailed guidance for this module: [Guide: Clinical vs. Genetic Di
guidance	de	bridge	none	B	7	**Written during migration - review before release.** Weiterführende Leitfäden dieses Moduls: [Leitfaden: Klinische vs. 
index	default	stand-in	index.md	A	12	**Written during migration - review before release.** The publication date and version in the table above were updated t
index	de	stand-in	index.md	A	12	**Written during migration - review before release.** Datum und Version in der Tabelle oben wurden durch die Migration a
logical-models	default	suggestion	none	B	6	**Written during migration - review before release.** The module's logical model is currently not part of the build (sou
logical-models	de	suggestion	none	B	6	**Written during migration - review before release.** Das Logical Model des Moduls ist derzeit nicht Teil des Builds (Qu
security-and-privacy	default	suggestion	none	B	59	**Written during migration - review before release.** The following module-specific aspects were derived from the module
security-and-privacy	de	suggestion	none	B	58	**Written during migration - review before release.** Die folgenden modulspezifischen Aspekte wurden aus den Artefakten 
