# source_page	target	reason	branch	measure
# page-map v2 - GENERATED by page-structure-advice.py v1.3.0, agent-reviewed 2026-08-28 (Korrekturen: pagecontent-Korpus (PR #41) = authoritative Port des Simplifier-Baums -> Baum-Manteldokumentseiten RETIRED-superseded; Profil-Baumseiten -> Intro-Notes mit KORREKTEN Artefakt-IDs (hpo-assessment statt VS, clinical-impression, genetic/clinical-diagnosis, bodymassindex, therapieempfehlung); WHR-Seite RETIRED (Profil in Quelle auskommentiert); information-model -> uml-diagrams (Override); Case-Diagramme werden aus Images/ restauriert). Gate-B-Review ausstehend.
# branch: spec 9e routing branch 1-4; 5 = RETIRED (superseded / kein Inhalt / Artefakt nicht im Build).
index.md	input/pagecontent/index.md	an agreed page already owns the concern	3	agreed page named 'index' exists in the target
module-description.md	input/pagecontent/index.md	semantic home per references/routing-table.tsv	3	semantic match 'beschreibungmodul' -> index (routing-table)
context.md	input/pagecontent/implementer-guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'kontextimgesamtprojekt' -> implementer-guidance (routing-table)
scenarios.md	input/pagecontent/guidance.md	semantic home per references/routing-table.tsv	3	semantic match 'szenarien' -> guidance (routing-table)
datasets.md	input/pagecontent/logical-models.md	Datasets and Descriptions -> logical-models (spec 9a)	3	spec 9a datasets-and-descriptions route
information-model.md	input/pagecontent/uml-diagrams.md	agent-override: Seite ist das UML-Datenmodell-Bild	3	UML-Bild MII_Datenmodell_Seltene_Erkrankungen_logisch.svg liegt in input/images
profiles-overview.md	input/pagecontent/profiles.md	family overview - section on the artefact index page	2	Profil-Uebersichtsprosa gehoert auf die Profiles-Seite
terminology.md	input/pagecontent/code-systems.md	semantic home per references/routing-table.tsv	3	semantic match 'terminologien' -> code-systems (routing-table)
capability.md	input/pagecontent/capability-statements.md	semantic home per references/routing-table.tsv	3	semantic match 'capabilitystatement' -> capability-statements (routing-table)
clinical-genetic-diagnosis-guide.md	input/pagecontent/clinical-genetic-diagnosis-guide.md	cross-cutting narrative - own page (pages:-nested unter guidance)	4	bewusste eigene Seite der Quelle 2026.0.1 (Leitfaden ueber mehrere Diagnose-Profile)
coding-best-practices.md	input/pagecontent/coding-best-practices.md	cross-cutting narrative - own page (pages:-nested unter guidance)	4	bewusste eigene Seite der Quelle 2026.0.1 (Kodier-Empfehlungen modulweit)
sma-example-annotations.md	input/pagecontent/sma-example-annotations.md	cross-cutting narrative - own page (pages:-nested unter examples)	4	bewusste eigene Seite der Quelle 2026.0.1; Case-Diagramm aus Images/ restauriert
